epoch,val accuracy
1,0.5678588926996571
2,0.5649191572758452
3,0.5869671729544341
4,0.5565899069083783
5,0.5654091131798138
6,0.5850073493385596
7,0.5864772170504654
8,0.5864772170504654
9,0.5776580107790299
10,0.5683488486036257
11,0.5683488486036257
12,0.5771680548750613
13,0.5845173934345909
14,0.5874571288584027
15,0.589906908378246
16,0.5874571288584027
17,0.5874571288584027
18,0.5850073493385596
19,0.5879470847623713
20,0.5987261146496815
21,0.5948064674179324
22,0.5938265556099951
23,0.5796178343949044
24,0.581577658010779
25,0.5830475257226849
26,0.5913767760901519
27,0.600685938265556
28,0.6026457618814307
29,0.5943165115139637
30,0.5884370406663401
31,0.5859872611464968
32,0.589906908378246
33,0.5987261146496815
34,0.5962763351298384
35,0.5972562469377756
36,0.5933365997060265
37,0.5977462028417443
38,0.6001959823615874
39,0.602155805977462
40,0.596766291033807
41,0.5992160705536502
42,0.5982361587457129
43,0.5948064674179324
44,0.5972562469377756
45,0.6036256736893679
46,0.6026457618814307
47,0.6031357177853993
48,0.6036256736893679
49,0.602155805977462
50,0.6011758941695248
51,0.6036256736893679
52,0.6036256736893679
53,0.6050955414012739
54,0.6046055854973053
55,0.600685938265556
56,0.6001959823615874
57,0.6060754532092112
58,0.6050955414012739
59,0.6070553650171484
60,0.6050955414012739
61,0.6046055854973053
62,0.6055854973052426
63,0.6065654091131798
64,0.6055854973052426
65,0.6050955414012739
66,0.6026457618814307
67,0.6031357177853993
68,0.6055854973052426
69,0.6050955414012739
70,0.6046055854973053
71,0.6041156295933366
72,0.6036256736893679
73,0.6036256736893679
74,0.602155805977462
75,0.6016658500734934
76,0.602155805977462
77,0.600685938265556
78,0.600685938265556
79,0.5997060264576188
80,0.6011758941695248
81,0.6011758941695248
82,0.6031357177853993
83,0.602155805977462
84,0.6011758941695248
85,0.602155805977462
86,0.600685938265556
87,0.6001959823615874
88,0.5997060264576188
89,0.5987261146496815
90,0.5997060264576188
91,0.5992160705536502
92,0.5992160705536502
93,0.5987261146496815
94,0.5992160705536502
95,0.5992160705536502
96,0.5987261146496815
97,0.5972562469377756
98,0.5962763351298384
99,0.5962763351298384
100,0.5962763351298384
final test accuracy,0.605
